	question	class
1087	Můžete mi dát definici průmyslového vzoru?	41
1088	můžeš mi dát definici průmyslového vzoru?	41
1089	rešerše pro ověření novosti průmyslového vzoru	42
1090	ověření novosti průmyslového vzoru	42
1091	novost průmyslového vzoru	42
1092	rešerše průmyslového vzoru	42
1093	databáze pro rešerši průmyslových vzorů	42
1094	Jak  lze provést rešerši průmyslového vzoru?	42
1095	Kde lze provést rešerši průmyslového vzoru?	42
1096	Jak  můžu provést rešerši průmyslového vzoru?	42
1097	Kde můžu provést rešerši průmyslového vzoru?	42
1098	Jak  mohu provést rešerši průmyslového vzoru?	42
1099	Kde mohu provést rešerši průmyslového vzoru?	42
1100	Jak  se může provést rešerši průmyslového vzoru?	42
1101	Kde se může provést rešerši průmyslového vzoru?	42
1102	Jak  lze  udělat rešerši průmyslového vzoru?	42
1103	Kde lze  udělat rešerši průmyslového vzoru?	42
1104	Jak  můžu  udělat rešerši průmyslového vzoru?	42
1105	Kde můžu  udělat rešerši průmyslového vzoru?	42
1106	Jak  mohu  udělat rešerši průmyslového vzoru?	42
1107	Kde mohu  udělat rešerši průmyslového vzoru?	42
1108	Jak  se může udělat rešerši průmyslového vzoru?	42
1109	Kde se může udělat rešerši průmyslového vzoru?	42
1110	Jak  lze  provedu rešerši průmyslového vzoru?	42
1111	Kde lze  provedu rešerši průmyslového vzoru?	42
1112	Jak  můžu  provedu rešerši průmyslového vzoru?	42
1113	Kde můžu  provedu rešerši průmyslového vzoru?	42
1114	Jak  mohu  provedu rešerši průmyslového vzoru?	42
1115	Kde mohu  provedu rešerši průmyslového vzoru?	42
1116	Jak  se může provedu rešerši průmyslového vzoru?	42
1117	Kde se může provedu rešerši průmyslového vzoru?	42
1118	Jak  lze  udělám rešerši průmyslového vzoru?	42
1119	Kde lze  udělám rešerši průmyslového vzoru?	42
1120	Jak  můžu  udělám rešerši průmyslového vzoru?	42
1121	Kde můžu  udělám rešerši průmyslového vzoru?	42
1122	Jak  mohu  udělám rešerši průmyslového vzoru?	42
1123	Kde mohu  udělám rešerši průmyslového vzoru?	42
1124	Jak  se může udělám rešerši průmyslového vzoru?	42
1125	Kde se může udělám rešerši průmyslového vzoru?	42
1126	odkaz pro ověření novosti průmyslového vzoru	42
1127	zdroje pro ověření novosti průmyslového vzoru	42
1128	objednávka rešerše průmyslového vzoru úřadem	42
1129	Kolik stojí zpracování rešerše průmyslového vzoru?	42
1130	Jaký je poplatek za zpracování rešerše průmyslového vzoru?	42
1131	rešeršní služby Úřadu k průmyslovým vzorům	42
1132	zahraniční databáze průmyslových vzorů pro rešerši	42
1133	formulář pro objednání rešerše průmyslového vzoru úřadem	42
1134	formulář objednávky rešerše průmyslového vzoru úřadem	42
1135	poplatek za podání přihlášky průmyslového vzoru	43
1136	poplatek za přijetí přihlášky průmyslového vzoru	43
1137	poplatek za přihlášku průmyslového vzoru	43
1138	sleva na poplatku při podání přihlášky průmyslového vzoru elektronicky	43
1139	sleva na poplatek při elektronickém podání přihlášky průmyslového vzoru	43
1140	sleva na poplatku při elektronickém podání přihlášky průmyslového vzoru	43
1141	poplatek za hromadnou přihlášku průmyslového vzoru	43
1142	poplatek za přijetí hromadné přihlášky průmyslového vzoru	43
1143	Existuje poplatek za každý další průmyslový vzor v přihlášce?	43
1144	Platí se poplatek za každý další průmyslový vzor v přihlášce?	43
1145	Jak je možné uhradit správní poplatek za podání přihlášky průmyslového vzoru?	43
1146	Jak lze uhradit správní poplatek za podání přihlášky průmyslového vzoru?	43
1147	Jak můžu uhradit správní poplatek za podání přihlášky průmyslového vzoru?	43
1148	Jak mohu uhradit správní poplatek za podání přihlášky průmyslového vzoru?	43
1149	Jak je možné  zaplatit správní poplatek za podání přihlášky průmyslového vzoru?	43
1150	Jak lze  zaplatit správní poplatek za podání přihlášky průmyslového vzoru?	43
1151	Jak můžu  zaplatit správní poplatek za podání přihlášky průmyslového vzoru?	43
1152	Jak mohu zaplatit správní poplatek za podání přihlášky průmyslového vzoru?	43
1153	Jaký hradí poplatek za přihlášku průmyslového vzoru?	43
1154	Jaký se hradí poplatek za přihlášku průmyslového vzoru?	43
1155	Který hradí poplatek za přihlášku průmyslového vzoru?	43
1156	Který se hradí poplatek za přihlášku průmyslového vzoru?	43
1157	Jak hradí poplatek za přihlášku průmyslového vzoru?	43
1158	Jak se hradí poplatek za přihlášku průmyslového vzoru?	43
1159	Jaký  platí poplatek za přihlášku průmyslového vzoru?	43
1160	Jaký se  platí poplatek za přihlášku průmyslového vzoru?	43
1161	Který  platí poplatek za přihlášku průmyslového vzoru?	43
1162	Který se  platí poplatek za přihlášku průmyslového vzoru?	43
1163	Jak  platí poplatek za přihlášku průmyslového vzoru?	43
1164	Jak se platí poplatek za přihlášku průmyslového vzoru?	43
1165	Jaký  mám zaplatit poplatek za přihlášku průmyslového vzoru?	43
1166	Jaký se  mám zaplatit poplatek za přihlášku průmyslového vzoru?	43
1167	Který  mám zaplatit poplatek za přihlášku průmyslového vzoru?	43
1168	Který se  mám zaplatit poplatek za přihlášku průmyslového vzoru?	43
1169	Jak  mám zaplatit poplatek za přihlášku průmyslového vzoru?	43
1170	Jak se mám zaplatit poplatek za přihlášku průmyslového vzoru?	43
1171	Jaký  zaplatit poplatek za přihlášku průmyslového vzoru?	43
1172	Jaký se  zaplatit poplatek za přihlášku průmyslového vzoru?	43
1173	Který  zaplatit poplatek za přihlášku průmyslového vzoru?	43
1174	Který se  zaplatit poplatek za přihlášku průmyslového vzoru?	43
1175	Jak  zaplatit poplatek za přihlášku průmyslového vzoru?	43
1176	Jak se zaplatit poplatek za přihlášku průmyslového vzoru?	43
1177	Jaký  uhradit poplatek za přihlášku průmyslového vzoru?	43
1178	Jaký se  uhradit poplatek za přihlášku průmyslového vzoru?	43
1179	Který  uhradit poplatek za přihlášku průmyslového vzoru?	43
1180	Který se  uhradit poplatek za přihlášku průmyslového vzoru?	43
1181	Jak  uhradit poplatek za přihlášku průmyslového vzoru?	43
1182	Jak se uhradit poplatek za přihlášku průmyslového vzoru?	43
1183	doba ochrany průmyslového vzoru	43
1184	trvání ochrany průmyslového vzoru	43
1185	Kolik se platí  zapsaného průmyslového vzoru	43
1186	Jaký je poplatek za zapsaného průmyslového vzoru	43
1187	Kolik se platí  obnova zapsaného průmyslového vzoru	43
1188	Jaký je poplatek za obnova zapsaného průmyslového vzoru	43
1189	Kolik se platí  obnovu zapsaného průmyslového vzoru	43
1190	Jaký je poplatek za obnovu zapsaného průmyslového vzoru	43
1191	Kolik se platí  prodloužení zapsaného průmyslového vzoru	43
1192	Jaký je poplatek za prodloužení zapsaného průmyslového vzoru	43
1193	Kolik se platí  zápisu průmyslového vzoru	43
1194	Jaký je poplatek za  zápisu průmyslového vzoru	43
1195	Kolik se platí  obnova  zápisu průmyslového vzoru	43
1196	Jaký je poplatek za obnova  zápisu průmyslového vzoru	43
1197	Kolik se platí  obnovu  zápisu průmyslového vzoru	43
1198	Jaký je poplatek za obnovu  zápisu průmyslového vzoru	43
1199	Kolik se platí  prodloužení zápisu průmyslového vzoru	43
1200	Jaký je poplatek za prodloužení zápisu průmyslového vzoru	43
1201	udržování průmyslového vzoru v platnosti	43
1202	udržovací poplatek pro průmyslový vzor	43
1203	Kde mohu najít rešeršní databázi průmyslových vzorů?	44
1204	Kde je rešeršní databázi průmyslových vzorů?	44
1205	Kde najdu rešeršní databázi průmyslových vzorů?	44
1206	Kde můžu najít rešeršní databázi průmyslových vzorů?	44
1207	Co obsahuje databáze průmyslových vzorů?	44
1208	Jaké informace obsahuje databáze průmyslových vzorů?	44
1209	Co obsahuje česká databáze průmyslových vzorů?	44
1210	Jaké informace obsahuje česká databáze průmyslových vzorů?	44
1211	Jsou v databázi průmyslových vzorů zapsané také průmyslové vzory z Úřadu Evropské unie pro duševní vlastnictví?	44
1212	Kde lze najít mezinárodní průmyslové vzory platné na území České republiky?	44
1213	Kde je možné najít mezinárodní průmyslové vzory platné na území České republiky?	44
1214	Kde jsou mezinárodní průmyslové vzory platné na území České republiky?	44
1215	Kde najdu mezinárodní průmyslové vzory platné na území České republiky?	44
1216	odkazy na zahraniční databáze průmyslových vzorů	44
1217	Co je EUIPO ?	44
1218	Co znamená EUIPO ?	44
1219	Co je  WIPO ?	44
1220	Co znamená WIPO ?	44
1221	Co je  VIPO?	44
1222	Co znamená VIPO?	44
1223	Co je databáze Hague ?	44
1224	Co znamená databáze Hague ?	44
1225	Co najdu v databáze Hague ?	44
1226	Co je  databázi Hague ?	44
1227	Co znamená  databázi Hague ?	44
1228	Co najdu v databázi Hague ?	44
1229	Co je databáze  Hág ?	44
1230	Co znamená databáze  Hág ?	44
1231	Co najdu v databáze  Hág ?	44
1232	Co je  databázi Hág ?	44
1233	Co znamená  databázi Hág ?	44
1234	Co najdu v databázi Hág ?	44
1235	Co je databáze  Hague Express ?	44
1236	Co znamená databáze  Hague Express ?	44
1237	Co najdu v databáze  Hague Express ?	44
1238	Co je  databázi Hague Express ?	44
1239	Co znamená  databázi Hague Express ?	44
1240	Co najdu v databázi Hague Express ?	44
1241	Co je databáze  Hág Express?	44
1242	Co znamená databáze  Hág Express?	44
1243	Co najdu v databáze  Hág Express?	44
1244	Co je  databázi Hág Express?	44
1245	Co znamená  databázi Hág Express?	44
1246	Co najdu v databázi Hág Express?	44
1247	Jaké průmyslové vzory mohou na území České republiky platit?	44
1248	Kde mohu dohledat mezinárodní průmyslové vzory?	44
1249	Kde najdu mezinárodní průmyslové vzory?	44
1250	Kde lze najít mezinárodní průmyslové vzory?	44
1251	Kde lze dohledat mezinárodní průmyslové vzory?	44
1252	Kde je možné najít mezinárodní průmyslové vzory?	44
1253	Kde je možné dohledat mezinárodní průmyslové vzory?	44
1254	Jaké průmyslové vzory mohu nalézt na stránkách Úřadu?	44
1255	Jaké průmyslové vzory jsou na stránkách Úřadu?	44
1256	Jaké průmyslové vzory lze najít na stránkách Úřadu?	44
1257	Jaké průmyslové vzory je možné najít na stránkách Úřadu?	44
1258	Jak podat objednávku rešerše průmyslového vzoru u Úřadu?	45
1259	Kde podat objednávku rešerše průmyslového vzoru u Úřadu?	45
1260	Jak  objednat rešerši průmyslového vzoru u Úřadu?	45
1261	Kde objednat rešerši průmyslového vzoru u Úřadu?	45
1262	rešerše průmyslového vzoru úřadem	45
1263	rešerše průmyslových vzorů úřadem	45
1264	objednávka rešerše průmyslového vzoru	45
1265	rešeršní služby úřadu pro průmyslové vzory	45
1266	Co je rešeršním výstupem u průmyslových vzorů?	45
1267	Jaký je způsob odesílání objednávky na rešeršní služby?	45
1268	Co představuje tematická rešerše ?	45
1269	Co je tematická rešerše ?	45
1270	Co znamená tematická rešerše ?	45
1271	Co představuje  jmenná rešerše ?	45
1272	Co je  jmenná rešerše ?	45
1273	Co znamená jmenná rešerše ?	45
1274	Co představuje  číselná rešerše ?	45
1275	Co je  číselná rešerše ?	45
1276	Co znamená číselná rešerše ?	45
1277	Co představuje  rešerše na právní stav?	45
1278	Co je  rešerše na právní stav?	45
1279	Co znamená rešerše na právní stav?	45
1280	Jak dlouho trvá zpracování rešerše průmyslového vzoru?	45
1281	Kolik stojí rešerši průmyslového vzoru?	45
1282	Jaký je poplatek za rešerši průmyslového vzoru?	45
1283	rešeršních služby Úřadu k průmyslovým vzorům	45
1284	ochrana průmyslového vzoru v zahraničí	46
1285	přihlášení průmyslového vzoru v zahraničí	46
1286	přihláška průmyslového vzoru v zahraničí	46
1287	podání průmyslového vzoru v zahraničí	46
1288	podání přihlášky průmyslového vzoru v zahraničí	46
1289	možnosti ochrany průmyslového vzoru v cílových státech	46
1290	možnosti ochrany průmyslového vzoru v zahraničí	46
1291	Jaké úřady jsou odpovědné za ochranu průmyslového vzoru v zahraničí?	46
1292	Jaké úřady řeší ochranu průmyslového vzoru v zahraničí?	46
1293	Jaké úřady mají na starosti ochranu průmyslového vzoru v zahraničí?	46
1294	Je možné získat ochranu průmyslového vzoru v celém území EU ?	46
1295	Co když chci získat ochranu průmyslového vzoru v celém území EU ?	46
1296	Mohu získat ochranu průmyslového vzoru v celém území EU ?	46
1297	Můžu získat ochranu průmyslového vzoru v celém území EU ?	46
1298	Lze získat ochranu průmyslového vzoru v celém území EU ?	46
1299	Mohl bych získat ochranu průmyslového vzoru v celém území EU ?	46
1300	Jakou cestou získat ochranu průmyslového vzoru v celém území EU ?	46
1301	Jak získat ochranu průmyslového vzoru v celém území EU ?	46
1302	Je možné získat ochranu průmyslového vzoru v celém území Evropské unie?	46
1303	Co když chci získat ochranu průmyslového vzoru v celém území Evropské unie?	46
1304	Mohu získat ochranu průmyslového vzoru v celém území Evropské unie?	46
1305	Můžu získat ochranu průmyslového vzoru v celém území Evropské unie?	46
1306	Lze získat ochranu průmyslového vzoru v celém území Evropské unie?	46
1307	Mohl bych získat ochranu průmyslového vzoru v celém území Evropské unie?	46
1308	Jakou cestou získat ochranu průmyslového vzoru v celém území Evropské unie?	46
1309	Jak získat ochranu průmyslového vzoru v celém území Evropské unie?	46
1310	Kde mohu najít informacíe o průmyslovém vlastnictví v EU ?	46
1311	Kde najdu informacíe o průmyslovém vlastnictví v EU ?	46
1312	Kde lze najít informacíe o průmyslovém vlastnictví v EU ?	46
1313	Kde jsou informacíe o průmyslovém vlastnictví v EU ?	46
1314	Kde mohu najít informacíe o průmyslovém vlastnictví v Evropské unii?	46
1315	Kde najdu informacíe o průmyslovém vlastnictví v Evropské unii?	46
1316	Kde lze najít informacíe o průmyslovém vlastnictví v Evropské unii?	46
1317	Kde jsou informacíe o průmyslovém vlastnictví v Evropské unii?	46
1318	Co je Haagský systém?	46
1319	mezinárodní přihláška podle Haagského systému	46
1320	pomoc při přihlašování průmyslového vzoru v zahraničí	46
1321	průmyslový vzor v zahraničí	46
1322	ochrana průmyslových vzorů v státech Beneluxu	46
1323	průmyslové vzory v Beneluxu	46
1324	Benelux a průmyslové vzory	46
1325	Jak dlouho trvá ochrana průmyslového vzoru?	47
1326	Jaká je doba ochrany průmyslového vzoru?	47
1327	doba trvání ochrany zapsaného průmyslového vzoru	47
1328	Kolikrát může být ochrana průmyslového vzoru obnovována ?	47
1329	Jak dlouho může být ochrana průmyslového vzoru obnovována ?	47
1330	Kolikrát může být ochrana průmyslového vzoru prodlužována?	47
1331	Jak dlouho může být ochrana průmyslového vzoru prodlužována?	47
1332	prodloužení ochrany průmyslového vzoru	47
1333	obnova ochrany průmyslového vzoru	47
1334	Kdy podat žádost o obnovu průmyslového vzoru?	47
1335	Jak podat žádost o obnovu průmyslového vzoru?	47
1336	Kdy podat žádost o obnovu ochrany průmyslového vzoru?	47
1337	Jak podat žádost o obnovu ochrany průmyslového vzoru?	47
1338	Je podání žádosti o obnovu doby ochrany průmyslového vzoru zpoplatněno?	47
1339	poplatek za obnovu  průmyslového vzoru	47
1340	poplatek za prodloužení průmyslového vzoru	47
1341	poplatek za obnovu  ochrany průmyslového vzoru	47
1342	poplatek za prodloužení ochrany průmyslového vzoru	47
1343	právo přednosti u přihlašovatele průmyslového vzoru	47
1344	Jaká je maximální doba ochrany průmyslového vzoru?	47
1345	Jak se ochrana průmyslového vzoru prodlužuje ?	47
1346	Jak se ochrana průmyslového vzoru obnovuje?	47
1347	proces obnovy ochrany pro průmyslový vzor	47
1348	Co je mezi průmyslově ochráněnými výrobky?	48
1349	Co je výrobek?	48
1350	Co se rozumí výrobkem?	48
1351	Co je výrobkem?	48
1352	Co se dá označit jako výrobek v právní ochraně průmyslových vzorů?	48
1353	Co se dá označit jako výrobek v kontextu průmyslových vzorů?	48
1354	Co se dá označit jako výrobek u průmyslových vzorů?	48
1355	"Jaká je definice ""výrobku"" v právní ochraně  průmyslových vzorů?"	48
1356	"Jaká je definice ""výrobku"" v kontextu právní ochrany  průmyslových vzorů?"	48
1357	"Jaká je definice ""výrobku"" u průmyslových vzorů?"	48
1358	Jaké součástky může obsahovat průmyslově vyrobený výrobek?	48
1359	složený výrobek	48
1360	jak je definován složený výrobek	48
1361	co je složený výrobek	48
1362	průmyslový výrobek	48
1363	Jak se žádá o zápis průmyslového vzoru do rejstříku?	49
1364	Jak mám pořádat o zápis průmyslového vzoru do rejstříku?	49
1365	Jak požadat o zápis průmyslového vzoru do rejstříku?	49
1366	Jak podat žádost o zápis průmyslového vzoru do rejstříku?	49
1367	možnosti podání přihlášky průmyslového vzoru	49
1368	elektronicky vyplnitelné formuláře pro přihlášku průmyslového vzoru	49
1369	Je možné podat přihlášku průmyslového vzoru online?	49
1370	Mohu podat přihlášku průmyslového vzoru poštou?	49
1371	Lze podat přihlášku průmyslového vzoru poštou?	49
1372	Je možné podat přihlášku průmyslového vzoru poštou?	49
1373	pomoc pro přihlášku průmyslového vzoru	50
1374	odborné zastoupení pro přihlášku průmyslového vzoru	50
1375	pomoc pro podání přihlášky průmyslového vzoru	50
1376	odborné zastoupení pro podání přihlášky průmyslového vzoru	50
1377	Existují advokátní kanceláře, které se zabývají průmyslovými vzory?	50
1378	právní zastoupení pro žadatele o průmyslový vzor	50
1379	právní zastoupení pro přihlášku průmyslový vzor	50
1380	právní zastoupení pro podání přihlášky průmyslový vzor	50
1381	právní zastoupení pro žadatele o  průmyslového vzoru	50
1382	právní zastoupení pro přihlášku  průmyslového vzoru	50
1383	právní zastoupení pro podání přihlášky průmyslového vzoru	50
1384	Kdo mě může zastupovat při podávání přihlášky průmyslového vzoru?	50
1385	Kdo mi může pomoci při podávání přihlášky průmyslového vzoru?	50
1386	náležitosti přihlášky průmyslového vzoru	51
1387	Jak se podává přihláška průmyslového vzoru?	51
1388	kam se podává přihláška průmyslového vzoru?	51
1389	jednoduchá přihláška průmyslového vzoru	51
1390	hromadná přihláška průmyslového vzoru	51
1391	Jak přihlásit více průmyslových vzorů?	51
1392	Jaký je postup podání přihlášky pro průmyslový vzor?	51
1393	podání přihlášky průmyslového vzoru	51
1394	žádost o zápis průmyslového vzoru	51
1395	přílohy přihlášky průmyslového vzoru	51
1396	podlohy přihlášky průmyslového vzoru	51
1397	vyobrazení průmyslového vzoru	51
1398	Kdo může podat přihlášku průmyslového vzoru?	52
1399	Kdo je oprávněn podat přihlášku průmyslového vzoru?	52
1400	průzkum přihlášky průmyslového vzoru	52
1401	věcný průzkum přihlášky průmyslového vzoru	52
1402	formální průzkum přihlášky průmyslového vzoru	52
1403	věcný  přezkum přihlášky průmyslového vzoru	52
1404	formální přezkum přihlášky průmyslového vzoru	52
1405	Jaké podmínky musí splňovat přihláška průmyslového vzoru?	52
1406	Jaký je postup zápisu průmyslového vzoru do rejstříku?	52
1407	Jak lze vymazat průmyslový vzor z rejstříku?	53
1408	Jak je možné vymazat průmyslový vzor z rejstříku?	53
1409	Jak můžu vymazat průmyslový vzor z rejstříku?	53
1410	Jak můžeme vymazat průmyslový vzor z rejstříku?	53
1411	výmaz průmyslového vzoru	53
1412	Kdo může podat návrh na výmaz průmyslového vzoru?	53
1413	Kdo je opávněn podat návrh na výmaz průmyslového vzoru?	53
1414	Co se stane po výmazu průmyslového vzoru z rejstříku?	53
1415	Co nastane po výmazu průmyslového vzoru z rejstříku?	53
1416	formulář pro podání návrhu na výmaz průmyslového vzoru	53
1417	důsledky výmazu průmyslového vzoru	53
1418	Kolik stojí podání návrhu na výmaz průmyslového vzoru?	53
1419	Kolik zaplatím za podání návrhu na výmaz průmyslového vzoru?	53
1420	Jaký je poplatek za podání návrhu na výmaz průmyslového vzoru?	53
1421	úplný výmaz průmyslového vzoru	53
1422	částečný výmaz průmyslového vzoru	53
1423	rozsah výmazu průmyslového vzoru	53
1424	pomoc s výmazem průmyslového vzoru	53
1425	pomoc s žádostí na výmaz průmyslového vzoru	53
1426	Jaké jsou možnosti výmazu průmyslového vzoru?	53
1427	Kde mohu nalézt databázi patentů a užitných vzorů?	54
1428	Kde najdu databázi patentů a užitných vzorů?	54
1429	Kde je databázi patentů a užitných vzorů?	54
1430	Kde najít databázi patentů a užitných vzorů?	54
1431	Existuje databáze patentů a užitných vzorů?	54
1432	Je možné najít online databázi udělených patentů a užitných vzorů?	54
1433	Kde najít online databázi udělených patentů a užitných vzorů?	54
1434	Je možné  najdu online databázi udělených patentů a užitných vzorů?	54
1435	Kde najdu online databázi udělených patentů a užitných vzorů?	54
1436	databáze patentů a užitných vzorů	54
1437	databáze užitných vzorů	54
1438	databáze patentů	54
1439	seznam evropských patentů platných na území ČR	54
1440	patentová rešerše na Úřadu	55
1441	patentová rešerše úřadem	55
1442	Jak mohu objednat patentovou rešeršní službu Úřadu?	55
1443	Jak objednám patentovou rešeršní službu Úřadu?	55
1444	Jaký je postup pro objednání patentové rešerše Úřadu?	55
1445	Jak postupovat pro objednání patentové rešerše Úřadu?	55
1446	Co dělat pro objednání patentové rešerše Úřadu?	55
1447	Jak  lze podat objednávku na patentovou rešerši?	55
1448	Kam  lze podat objednávku na patentovou rešerši?	55
1449	Jakým způsobem lze podat objednávku na patentovou rešerši?	55
1450	Jak  můžu podat objednávku na patentovou rešerši?	55
1451	Kam  můžu podat objednávku na patentovou rešerši?	55
1452	Jakým způsobem můžu podat objednávku na patentovou rešerši?	55
1453	Jak  mohu podat objednávku na patentovou rešerši?	55
1454	Kam  mohu podat objednávku na patentovou rešerši?	55
1455	Jakým způsobem mohu podat objednávku na patentovou rešerši?	55
1456	Jak  mám podat objednávku na patentovou rešerši?	55
1457	Kam  mám podat objednávku na patentovou rešerši?	55
1458	Jakým způsobem mám podat objednávku na patentovou rešerši?	55
1459	Jak dlouho trvá zpracování patentové rešerše úřadem?	55
1460	poplatek za patentovou rešerši	55
1461	poplatky za patentovou rešerši	55
1462	Jak se platí poplatek za patentovou rešerši?	55
1463	Kdy se platí poplatek za patentovou rešerši?	55
1464	formuář objednávky na patentovou rešerši úřadu	55
1465	objednávka na patentové rešeršní služby úřadu	55
1466	Můžu objednat patentovou rešerši e-mailem?	55
1467	Jak je možné přihlásit užitný vzor v zahraničí?	56
1468	Jak mohu přihlásit užitný vzor v zahraničí?	56
1469	Jak můžu přihlásit užitný vzor v zahraničí?	56
1470	Jak mám přihlásit užitný vzor v zahraničí?	56
1471	Existuje jednotný systém pro ochranu užitných vzorů v zahraničí?	56
1472	Existuje jednotný mezinárodní systém pro ochranu užitných vzorů v zahraničí?	56
1473	Existuje jednotný evropský systém pro ochranu užitných vzorů v zahraničí?	56
1474	informace o přihlašování užitných vzorů do zahraničí	56
1475	pomoc při podání užitného vzoru v zahraničí	56
1476	pomoc s přihláškou užitného vzoru v zahraničí	56
1477	zastupování při podávání užitných vzorů do zahraničí	56
1478	mezinárodní ochrana technických řešení pomocí užitných vzorů	56
1479	Jak dlouho platí zápis užitného vzoru?	57
1480	Jak dlouho platí registrace užitného vzoru?	57
1481	Jaké je maximální období platnosti zápisu užitného vzoru?	57
1482	Jaká je maximální období platnosti zápisu užitného vzoru?	57
1483	Jaké je maximální doba platnosti zápisu užitného vzoru?	57
1484	Jaká je maximální doba platnosti zápisu užitného vzoru?	57
1485	Kolik let je zápis užitného vzoru platný?	57
1486	Jak dlouho může být užitný vzor chráněn?	57
1487	Jak dlouho je užitný vzor chráněn?	57
1488	Je možné prodloužit dobu platnosti užitného vzoru?	57
1489	Je možné prodloužit dobu platnosti registrace užitného vzoru?	57
1490	Je možné prodloužit dobu platnosti zápisu užitného vzoru?	57
1491	Je možné pro prodloužení platnosti registrace užitného vzoru?	57
1492	Co se musí udělat pro prodloužení platnosti registrace užitného vzoru?	57
1493	Co udělat pro prodloužení platnosti registrace užitného vzoru?	57
1494	Je možné pro prodloužení platnosti zápisu užitného vzoru?	57
1495	Co se musí udělat pro prodloužení platnosti zápisu užitného vzoru?	57
1496	Co udělat pro prodloužení platnosti zápisu užitného vzoru?	57
1497	Jaký formulář potřebuji pro obnovu platnosti zápisu užitného vzoru?	57
1498	Jaký formulář je pro obnovu platnosti zápisu užitného vzoru?	57
1499	Jaký formulář potřebuji pro prodloužení platnosti zápisu užitného vzoru?	57
1500	Jaký formulář je pro prodloužení platnosti zápisu užitného vzoru?	57
1501	formulář pro obnovu platnosti zápisu užitného vzoru?	57
1502	formulář pro prodloužení platnosti zápisu užitného vzoru?	57
1503	platnost registrace užitného vzoru	57
1504	platnost zápisu užitného vzoru	57
1505	Jak lze chránit technické řešení?	58
1506	Jak je možné chránit technické řešení?	58
1507	Jak mohu chránit technické řešení?	58
1508	Jak můžu chránit technické řešení?	58
1509	Jakými způsoby lze chránit technické řešení?	58
1510	ochrana technického řešení	58
1511	Jaké jsou možnosti, pokud nechci zveřejnit své technické řešení?	58
1512	Co je výlučné právo k předmětu ochrany technického řešení ?	58
1513	Co znamená výlučné právo k předmětu ochrany technického řešení ?	58
1514	Co je výlučné právo k předmětu ochrany vynálezu?	58
1515	Co znamená výlučné právo k předmětu ochrany vynálezu?	58
1516	výučné právo k patentu	58
1517	výlučné právo k užitnému vzoru	58
1518	výučné právo k technickému řešení	58
1519	utajení technického řešení	58
1520	utajení vynálezu	58
1521	Co nastane , pokud je utajené technické řešení vyzrazeno?	58
1522	Co se stane, pokud je utajené technické řešení vyzrazeno?	58
1523	kvalifikované zveřejnění technického řešení	58
1524	kvalifikované zveřejnění vynálezu	58
1525	důsledky kvalifikovaného zveřejnění technického řešení	58
1526	důsledky kvalifikovaného zveřejnění vynálezu	58
1527	dohoda o utajování	58
1528	Jak lze zabránit konkurenci ve využití mého technického řešení?	58
1529	obchodní tajemství	58
1530	ochrana know-how	58
1531	Jak mohu podat přihlášku užitného vzoru?	59
1532	Kam mohu podat přihlášku užitného vzoru?	59
1533	Jak  podat přihlášku užitného vzoru?	59
1534	Kam podat přihlášku užitného vzoru?	59
1535	Jak  mám podat přihlášku užitného vzoru?	59
1536	Kam mám podat přihlášku užitného vzoru?	59
1537	Jak  můžu podat přihlášku užitného vzoru?	59
1538	Kam můžu podat přihlášku užitného vzoru?	59
1539	Je možné podání přihlášky užitného vzoru elektronicky?	59
1540	Můžu podání přihlášky užitného vzoru elektronicky?	59
1541	Mohu podání přihlášky užitného vzoru elektronicky?	59
1542	Jde podání přihlášky užitného vzoru elektronicky?	59
1543	Kdo může podat přihlášku užitného vzoru?	59
1544	Kdo je oprávněn podat přihlášku užitného vzoru?	59
1545	Může právnická osoba podat přihlášku užitného vzoru?	59
1546	formulář podání užitného vzoru	59
1547	formulář přihlášky užitného vzoru	59
1548	Je možné podat přihlášku užitného vzoru do datové schránky?	59
1549	Můžu podat přihlášku užitného vzoru do datové schránky?	59
1550	Mohu podat přihlášku užitného vzoru do datové schránky?	59
1551	Jde podat přihlášku užitného vzoru do datové schránky?	59
1552	pomoc s přihláškou užitného vzoru	60
1553	pomoc při přípravě přihlášky užitného vzoru	60
1554	náležitosti přihlášky užitného vzoru	60
1555	části přihlášky užitného vzoru	60
1556	součásti přihlášky užitného vzoru	60
1557	přílohy přihlášky užitného vzoru	60
1558	podlohy přihlášky užitného vzoru	60
1559	žádost o zápis užitného vzoru	60
1560	žádost o zapsání užitného vzoru	60
1561	žádost o registraci užitného vzoru	60
1562	Kde mohu najít formulář pro podání přihlášky užitného vzoru?	60
1563	Kde lze najít formulář pro podání přihlášky užitného vzoru?	60
1564	Kde je možné najít formulář pro podání přihlášky užitného vzoru?	60
1565	Kde můžu najít formulář pro podání přihlášky užitného vzoru?	60
1566	Jaké jsou části přihlášky užitného vzoru?	60
1567	popis technického řešení	60
1568	popis technického řešení v přihlášce užitného vzoru	60
1569	Co může být přílohou v přihlášce užitného vzoru?	60
1570	Co znamená priorita u užitného vzoru?	60
1571	Co znamená právo přednosti u užitného vzoru?	60
1572	název technického řešení	60
1573	název technického řešení užitného vzoru	60
1574	Jak lze vymazat užitný vzor?	61
1575	Jak je možné vymazat užitný vzor?	61
1576	Jak můžu vymazat užitný vzor?	61
1577	Jak mohu vymazat užitný vzor?	61
